series,product_type,image_type,filename,filepath,priority
DRT2000,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT2000.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT2000.jpg,
DRT404045 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT404045 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT404045 1.jpg,1
White Herringbone Panel,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories,Web Images,White Herringbone Panel.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories/White Herringbone Panel.jpg,
WRT40 PF,/Indoor Fireplaces,Web Images,WRT40 PF.jpg,superior_source/Web Images/Indoor Fireplaces/WRT40 PF.jpg,
VRT6000 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT6000 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT6000 2.jpg,2
brt4000,Gas Fireplaces,Hi-Res Images,superior-bvfp-brt4000-4336-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4336-hires-1.tif,1
brt4336,Gas Fireplaces,Hi-Res Images,superior-bvfp-brt4000-4336-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-bvfp-brt4000-4336-hires-1.tif,1
drt2000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt2000-35-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2000-35-hires-2.tif,2
drt2035,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt2000-35-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt2000-35-hires-2.tif,2
_Linear and Square Surrounds,/Accessories/Decorative Surround Kits,Web Images,SUPERIOR_Linear and Square Surrounds.jpg,superior_source/Web Images/Accessories/Decorative Surround Kits/SUPERIOR_Linear and Square Surrounds.jpg,
vre4600,Outdoor Products,Hi-Res Images,superior-ovffp-vre4600-72-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4600-72-hires-1.tif,1
vre4672,Outdoor Products,Hi-Res Images,superior-ovffp-vre4600-72-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4600-72-hires-1.tif,1
wrt6000,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt6000-42-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt6000-42-hires-1.tif,1
wrt6042,Wood Fireplaces,Hi-Res Images,superior-wbfp-wrt6000-42-hires-1.tif,superior_source/Hi-Res Images/Wood Fireplaces/superior-wbfp-wrt6000-42-hires-1.tif,1
VRL4543 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRL4543 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRL4543 2.jpg,2
DRT40ST_Liners_Shareable_Print,/Indoor Fireplaces,Web Images,DRT40ST_Liners_Shareable_Print.jpg,superior_source/Web Images/Indoor Fireplaces/DRT40ST_Liners_Shareable_Print.jpg,
Giant Timbers OD LMF-GT,/Superior Images/Superior Outdoor Products,Web Images,Giant Timbers OD LMF-GT.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/Giant Timbers OD LMF-GT.jpg,
DRC6300 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRC6300 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRC6300 1.jpg,1
drt63ST,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt63ST-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt63ST-hires-1.tif,1
MHD35_Liners_ST_20743306_Print,/Indoor Fireplaces,Web Images,MHD35_Liners_ST_20743306_Print.jpg,superior_source/Web Images/Indoor Fireplaces/MHD35_Liners_ST_20743306_Print.jpg,
mosskyoak,Gas Logs,Hi-Res Images,superior-vflg-mosskyoak-hires-1.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-mosskyoak-hires-1.tif,1
Crescent Hill LVD-CH,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Crescent Hill LVD-CH.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Crescent Hill LVD-CH.jpg,
VRT2000-VCT2000,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT2000-VCT2000.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT2000-VCT2000.jpg,
DRC6300_DT_12662416_Print,/Indoor Fireplaces,Web Images,DRC6300_DT_12662416_Print.jpg,superior_source/Web Images/Indoor Fireplaces/DRC6300_DT_12662416_Print.jpg,
WRT2000,/Indoor Fireplaces,Web Images,WRT2000.jpg,superior_source/Web Images/Indoor Fireplaces/WRT2000.jpg,
DRI2032,/Superior Images/Superior Inserts,Web Images,DRI2032.jpg,superior_source/Web Images/Superior Images/Superior Inserts/DRI2032.jpg,
_WRT6800_Ivory Stacked_16240401,/Indoor Fireplaces,Web Images,Superior_WRT6800_Ivory Stacked_16240401.jpg,superior_source/Web Images/Indoor Fireplaces/Superior_WRT6800_Ivory Stacked_16240401.jpg,
DRT6300-Oak-Log-Set,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories,Web Images,DRT6300-Oak-Log-Set.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories/DRT6300-Oak-Log-Set.jpg,
BRT2500,/Indoor Fireplaces,Web Images,BRT2500.jpg,superior_source/Web Images/Indoor Fireplaces/BRT2500.jpg,
WCT6840 Hammered Steel Door,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT6840 Accessories,Web Images,WCT6840 Hammered Steel Door.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT6840 Accessories/WCT6840 Hammered Steel Door.jpg,
DRI3030TEN,/Superior Images/Superior Inserts,Web Images,DRI3030TEN.jpg,superior_source/Web Images/Superior Images/Superior Inserts/DRI3030TEN.jpg,
DRL4060 ST,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL4060 ST.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL4060 ST.jpg,
DRT403642 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT403642 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT403642 1.jpg,1
wxs2016,Stoves _ Inserts,Hi-Res Images,superior-wbst-wxs2016-hires-1.tif,superior_source/Hi-Res Images/Stoves _ Inserts/superior-wbst-wxs2016-hires-1.tif,1
drt3000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt3000-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-1.tif,1
drt3040,Gas Fireplaces,Hi-Res Images,superior-dvfp-drt3000-40-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drt3000-40-hires-1.tif,1
WRE3000,/Superior Images/Superior Outdoor Products,Web Images,WRE3000.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/WRE3000.jpg,
WCT4820 Victorian Arch Shape Doors Black,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT4820 Accessories,Web Images,WCT4820 Victorian Arch Shape Doors Black.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WCT4820 Accessories/WCT4820 Victorian Arch Shape Doors Black.jpg,
"Glass-Media,-Reflective-Blue",/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories,Web Images,"Glass-Media,-Reflective-Blue.jpg","superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories/Glass-Media,-Reflective-Blue.jpg",
VRT4500 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT4500 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT4500 1.jpg,1
Porcelain-Liner,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRCT3000 Accessories,Web Images,Porcelain-Liner.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRCT3000 Accessories/Porcelain-Liner.jpg,
vre4300,Outdoor Products,Hi-Res Images,superior-ovffp-vre4300-42-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4300-42-hires-1.tif,1
vre4342,Outdoor Products,Hi-Res Images,superior-ovffp-vre4300-42-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre4300-42-hires-1.tif,1
Multi-Sided FVFM27,/Superior Images/Superior Gas Logs/Superior Vent-Free Logs,Web Images,Multi-Sided FVFM27.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vent-Free Logs/Multi-Sided FVFM27.jpg,
WRT40 CR,/Indoor Fireplaces,Web Images,WRT40 CR.jpg,superior_source/Web Images/Indoor Fireplaces/WRT40 CR.jpg,
_WRE4800_White Herringbone_76534538,/Outdoor Fireplaces,Web Images,Superior_WRE4800_White Herringbone_76534538.jpg,superior_source/Web Images/Outdoor Fireplaces/Superior_WRE4800_White Herringbone_76534538.jpg,
VCI3032ZM,/Superior Images/Superior Inserts,Web Images,VCI3032ZM.jpg,superior_source/Web Images/Superior Images/Superior Inserts/VCI3032ZM.jpg,
DRT63ST 3,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT63ST 3.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT63ST 3.jpg,3
BRT40ST,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior B-Vent Fireplaces,Web Images,BRT40ST.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior B-Vent Fireplaces/BRT40ST.jpg,
FVFM27,/Gas Logs/Vent-Free,Web Images,FVFM27.jpg,superior_source/Web Images/Gas Logs/Vent-Free/FVFM27.jpg,
VTDGT24,/Gas Logs/Vented,Web Images,VTDGT24.jpg,superior_source/Web Images/Gas Logs/Vented/VTDGT24.jpg,
LTF24MM,/Gas Logs/Vent-Free,Web Images,LTF24MM.jpg,superior_source/Web Images/Gas Logs/Vent-Free/LTF24MM.jpg,
brt40ST,Gas Fireplaces,Hi-Res Images,superior-bvfp-brt40ST-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-bvfp-brt40ST-hires-1.tif,1
DRT63ST 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT63ST 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT63ST 1.jpg,1
DRI3030C-Contemporary-Face---Mink,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030C Accessories,Web Images,DRI3030C-Contemporary-Face---Mink.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRI3030C Accessories/DRI3030C-Contemporary-Face---Mink.jpg,
DRT403642 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT403642 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT403642 2.jpg,2
Mosaic Masonry Bi-Fold Door Pewter Finish Swatch,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Pewter Finish Swatch.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories/Mosaic Masonry Bi-Fold Door Pewter Finish Swatch.jpg,
BRT4000 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior B-Vent Fireplaces,Web Images,BRT4000 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior B-Vent Fireplaces/BRT4000 1.jpg,1
Arch-Screen-Kit,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories,Web Images,Arch-Screen-Kit.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT6300 Accessories/Arch-Screen-Kit.jpg,
WRT6000 1,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WRT6000 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT6000 1.jpg,1
DRT40ST,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT40ST.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT40ST.jpg,
VCI3032ZM,/Indoor Fireplaces,Web Images,VCI3032ZM.jpg,superior_source/Web Images/Indoor Fireplaces/VCI3032ZM.jpg,
VRE6000 1,/Superior Images/Superior Outdoor Products,Web Images,VRE6000 1.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/VRE6000 1.jpg,1
DRL6500 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRL6500 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRL6500 1.jpg,1
VRL4543 Decorative Face Trim Frame Aged Silver,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRL4543 Accessories,Web Images,VRL4543 Decorative Face Trim Frame Aged Silver.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRL4543 Accessories/VRL4543 Decorative Face Trim Frame Aged Silver.jpg,
WRT35ST,/Indoor Fireplaces,Web Images,WRT35ST.jpg,superior_source/Web Images/Indoor Fireplaces/WRT35ST.jpg,
Mosaic Masonry Bi-Fold Door Ebony Finish Swatch,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Ebony Finish Swatch.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRE3000 Accessories/Mosaic Masonry Bi-Fold Door Ebony Finish Swatch.jpg,
vre3200,Outdoor Products,Hi-Res Images,superior-ovffp-vre3200-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre3200-36-hires-1.tif,1
vre3236,Outdoor Products,Hi-Res Images,superior-ovffp-vre3200-36-hires-1.tif,superior_source/Hi-Res Images/Outdoor Products/superior-ovffp-vre3200-36-hires-1.tif,1
Vintage-Red-Brick-Liner,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT3500 Accessories,Web Images,Vintage-Red-Brick-Liner.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT3500 Accessories/Vintage-Red-Brick-Liner.jpg,
WRE6000 1,/Superior Images/Superior Outdoor Products,Web Images,WRE6000 1.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/WRE6000 1.jpg,1
WRE6000 2,/Superior Images/Superior Outdoor Products,Web Images,WRE6000 2.jpg,superior_source/Web Images/Superior Images/Superior Outdoor Products/WRE6000 2.jpg,2
drl3500,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-45-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-2.tif,2
drl3545,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-45-hires-2.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-45-hires-2.tif,2
WRT3820 1,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WRT3820 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WRT3820 1.jpg,1
HKE24RF,/Gas Logs/Vented,Web Images,HKE24RF.jpg,superior_source/Web Images/Gas Logs/Vented/HKE24RF.jpg,
WCT4820 1,/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces,Web Images,WCT4820 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Wood Burning Fireplaces/WCT4820 1.jpg,1
VRT3500 Arched Screen Door Textured Iron,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRT3500 Accessories,Web Images,VRT3500 Arched Screen Door Textured Iron.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRT3500 Accessories/VRT3500 Arched Screen Door Textured Iron.jpg,
DRC2000,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRC2000.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRC2000.jpg,
crescenthillHD,Gas Logs,Hi-Res Images,superior-vflg-crescenthillHD-hires-1.tif,superior_source/Hi-Res Images/Gas Logs/superior-vflg-crescenthillHD-hires-1.tif,1
ERT4000 3,/Superior Images/Superior Fireplaces/Superior Electric Fireplaces,Web Images,ERT4000 3.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Electric Fireplaces/ERT4000 3.jpg,3
VRT3500 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT3500 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT3500 1.jpg,1
DRC6300 2,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRC6300 2.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRC6300 2.jpg,2
drl4000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl4000-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4000-60-hires-1.tif,1
drl4060,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl4000-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl4000-60-hires-1.tif,1
DRT35PF,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces,Web Images,DRT35PF.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Direct Vent Fireplaces/DRT35PF.jpg,
Mosaic Masonry Bi-Fold Door Ebony Finish Swatch,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Ebony Finish Swatch.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRT6000 Accessories/Mosaic Masonry Bi-Fold Door Ebony Finish Swatch.jpg,
VF24BTB,/Gas Logs/Vent-Free,Web Images,VF24BTB.jpg,superior_source/Web Images/Gas Logs/Vent-Free/VF24BTB.jpg,
VRE6036,/Indoor Fireplaces,Web Images,VRE6036.jpg,superior_source/Web Images/Indoor Fireplaces/VRE6036.jpg,
Stainless Steel Outdoor Weather Cover,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRE4300 Accessories,Web Images,Stainless Steel Outdoor Weather Cover.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRE4300 Accessories/Stainless Steel Outdoor Weather Cover.jpg,
VRT4000 1,/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces,Web Images,VRT4000 1.jpg,superior_source/Web Images/Superior Images/Superior Fireplaces/Superior Gas Fireplaces/Superior Vent-Free Fireplaces/VRT4000 1.jpg,1
wxs2016,Stoves _ Inserts,Hi-Res Images,superior-wbst-wxs2016-hires-2.tif,superior_source/Hi-Res Images/Stoves _ Inserts/superior-wbst-wxs2016-hires-2.tif,2
"Remote,-Touch-Screen,-Thermostat,-On-Off",/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT4000 Accessories,Web Images,"Remote,-Touch-Screen,-Thermostat,-On-Off.jpg","superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRT4000 Accessories/Remote,-Touch-Screen,-Thermostat,-On-Off.jpg",
drl3500,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-55-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-55-hires-1.tif,1
drl3555,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl3500-55-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl3500-55-hires-1.tif,1
Bridgeport Oak FB,/Superior Images/Superior Gas Logs/Superior Vented Logs,Web Images,Bridgeport Oak FB.jpg,superior_source/Web Images/Superior Images/Superior Gas Logs/Superior Vented Logs/Bridgeport Oak FB.jpg,
Mosaic Masonry Bi-Fold Door Pewter Finish,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories,Web Images,Mosaic Masonry Bi-Fold Door Pewter Finish.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/WRCT3000 Accessories/Mosaic Masonry Bi-Fold Door Pewter Finish.jpg,
vrt3500,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt3500-36-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3500-36-hires-1.tif,1
vrt3536,Gas Fireplaces,Hi-Res Images,superior-vffb-vrt3500-36-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-vffb-vrt3500-36-hires-1.tif,1
Vintage-Brick,/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRCT3000 Accessories,Web Images,Vintage-Brick.jpg,superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/VRCT3000 Accessories/Vintage-Brick.jpg,
drl6000,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl6000-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl6000-60-hires-1.tif,1
drl6060,Gas Fireplaces,Hi-Res Images,superior-dvfp-drl6000-60-hires-1.tif,superior_source/Hi-Res Images/Gas Fireplaces/superior-dvfp-drl6000-60-hires-1.tif,1
"Glass-Media,-Copper",/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories,Web Images,"Glass-Media,-Copper.jpg","superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories/Glass-Media,-Copper.jpg",
DRL3000_Shareable_Print,/Indoor Fireplaces,Web Images,DRL3000_Shareable_Print.jpg,superior_source/Web Images/Indoor Fireplaces/DRL3000_Shareable_Print.jpg,
"Glass-Media,-Platinum",/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories,Web Images,"Glass-Media,-Platinum.jpg","superior_source/Web Images/Superior Images/Superior Fireplace Accessories/Superior Fireplace Accessories/DRL6500 Accessories/Glass-Media,-Platinum.jpg",
ert3000,Electric Fireplaces,Hi-Res Images,superior-elfp-ert3000-36-hires-1.tif,superior_source/Hi-Res Images/Electric Fireplaces/superior-elfp-ert3000-36-hires-1.tif,1
